,Close,High,Low,Open,Volume
2017-01-13 14:20:00,808.12,808.12,807.67,807.9401,4799.0
2017-01-13 14:25:00,808.12,808.3324,808.08,808.12,2697.0
2017-01-13 14:30:00,807.67,808.02,807.4,808.01,5486.0
2017-01-13 14:35:00,807.91,808.17,807.56,807.8787,5763.0
2017-01-13 14:40:00,808.43,808.43,808.08,808.13,6150.0
2017-01-13 14:45:00,808.32,808.32,807.88,808.18,3681.0
2017-01-13 14:50:00,808.3188,808.5,808.22,808.22,9523.0
2017-01-13 14:55:00,807.7501,808.3,807.7501,808.15,7801.0
2017-01-13 15:00:00,808.31,808.45,807.57,807.97,28491.0
2017-01-13 15:05:00,808.275,808.33,807.91,808.23,26383.0
2017-01-13 15:10:00,808.0,808.15,807.9603,808.13,3879.0
2017-01-13 15:15:00,807.74,808.05,807.73,807.89,4360.0
2017-01-13 15:20:00,807.82,807.82,807.56,807.67,4591.0
2017-01-13 15:25:00,807.6623,807.93,807.6623,807.7711,5352.0
2017-01-13 15:30:00,807.49,807.86,807.465,807.67,8297.0
2017-01-13 15:35:00,807.18,807.4781,807.11,807.4781,4005.0
2017-01-13 15:40:00,807.24,807.64,807.2,807.33,11748.0
2017-01-13 15:45:00,807.74,807.905,807.33,807.34,7979.0
2017-01-13 15:50:00,807.35,808.0644,807.35,807.89,7431.0
2017-01-13 15:55:00,807.34,807.94,807.24,807.57,20200.0
2017-01-13 16:00:00,807.8,807.94,807.1669,807.28,33766.0
2017-01-13 16:05:00,807.88,807.88,807.88,807.88,80857.0
2017-01-13 16:20:00,807.5,807.5,807.5,807.5,100.0
2017-01-13 16:35:00,808.04,808.25,808.04,808.25,1700.0
2017-01-13 16:50:00,808.12,808.12,808.12,808.12,150.0
2017-01-13 16:55:00,808.13,808.13,808.13,808.13,100.0
2017-01-13 17:00:00,808.0,808.0,808.0,808.0,200.0
2017-01-13 17:20:00,807.88,807.88,807.88,807.88,3760.0
2017-01-13 17:25:00,808.0,808.0,808.0,808.0,100.0
