,Open,High,Low,Close,Volume
2017-04-07 10:55:00,20.7067,20.73,20.69,20.71,3515.0
2017-04-07 11:00:00,20.71,20.71,20.67,20.67,2310.0
2017-04-07 11:05:00,20.67,20.69,20.66,20.66,2420.0
2017-04-07 11:10:00,20.67,20.675,20.67,20.67,700.0
2017-04-07 11:15:00,20.6776,20.7,20.67,20.6735,4895.0
2017-04-07 11:20:00,20.675,20.68,20.67,20.67,800.0
2017-04-07 11:25:00,20.67,20.72,20.665,20.7,3889.0
2017-04-07 11:30:00,20.7,20.71,20.7,20.7,1300.0
2017-04-07 11:35:00,20.7,20.7,20.675,20.675,4041.0
2017-04-07 11:40:00,20.675,20.715,20.675,20.7141,3700.0
2017-04-07 11:45:00,20.7199,20.72,20.69,20.72,7561.0
2017-04-07 11:50:00,20.72,20.765,20.72,20.765,5800.0
2017-04-07 11:55:00,20.7666,20.79,20.7666,20.78,5800.0
2017-04-07 12:00:00,20.777,20.777,20.7262,20.7262,7422.0
2017-04-07 12:05:00,20.7324,20.76,20.72,20.76,1800.0
2017-04-07 12:10:00,20.77,20.77,20.75,20.75,2605.0
2017-04-07 12:15:00,20.745,20.7574,20.745,20.7571,2100.0
2017-04-07 12:20:00,20.76,20.78,20.755,20.775,2900.0
2017-04-07 12:25:00,20.77,20.775,20.76,20.76,2623.0
2017-04-07 12:30:00,20.77,20.78,20.76,20.77,4350.0
2017-04-07 12:35:00,20.775,20.775,20.71,20.715,6338.0
2017-04-07 12:40:00,20.72,20.72,20.7,20.7,6900.0
2017-04-07 12:45:00,20.7065,20.7065,20.69,20.69,1200.0
2017-04-07 12:50:00,20.69,20.7,20.69,20.7,2282.0
2017-04-07 12:55:00,20.69,20.71,20.69,20.71,4087.0
2017-04-07 13:00:00,20.71,20.71,20.69,20.69,2900.0
2017-04-07 13:05:00,20.6899,20.6899,20.62,20.62,3569.0
2017-04-07 13:10:00,20.62,20.64,20.62,20.635,1439.0
2017-04-07 13:15:00,20.6371,20.6467,20.6371,20.64,4000.0
2017-04-07 13:20:00,20.64,20.645,20.62,20.625,5257.0
2017-04-07 13:25:00,20.62,20.627,20.62,20.627,5100.0
2017-04-07 13:30:00,20.625,20.65,20.625,20.65,4645.0
2017-04-07 13:35:00,20.66,20.665,20.65,20.66,2618.0
2017-04-07 13:40:00,20.655,20.6567,20.65,20.6567,1207.0
2017-04-07 13:45:00,20.655,20.655,20.613,20.615,6335.0
